sample_id,GENE,PRODUCT,RESISTANCE,country,%COVERAGE,%IDENTITY
ERR12511696,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511696,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511696,aph(2'')-Ih,aminoglycoside O-phosphotransferase APH(2'')-Ih,AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN,Tanzania,89.15,82.43
ERR12511696,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,96.93
ERR12511696,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,93.0
ERR12511696,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511698,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511698,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511698,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511698,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511698,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511699,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511699,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.72
ERR12511699,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,100.0
ERR12511699,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511699,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.05
ERR12511699,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,99.78
ERR12511700,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511700,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511700,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,96.93
ERR12511700,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,93.0
ERR12511700,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511700,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511700,str,streptomycin adenylyltransferase Str,STREPTOMYCIN,Tanzania,100.0,99.88
ERR12511700,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511700,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511700,aph(2'')-Ih,aminoglycoside O-phosphotransferase APH(2'')-Ih,AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN,Tanzania,89.15,82.43
ERR12511700,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511701,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511701,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511701,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511701,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511701,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511701,aph(2'')-Ih,aminoglycoside O-phosphotransferase APH(2'')-Ih,AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN,Tanzania,89.15,82.43
ERR12511701,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511701,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,96.93
ERR12511701,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,93.0
ERR12511701,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511702,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,99.8
ERR12511702,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511703,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511703,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511703,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511703,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511704,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511704,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511704,tet(K),tetracycline efflux MFS transporter Tet(K),TETRACYCLINE,Tanzania,100.0,99.56
ERR12511704,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511704,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511704,aph(2'')-Ih,aminoglycoside O-phosphotransferase APH(2'')-Ih,AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN,Tanzania,89.15,82.43
ERR12511704,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511704,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,96.93
ERR12511704,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,93.0
ERR12511704,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511704,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511705,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511705,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511705,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511705,tet(K),tetracycline efflux MFS transporter Tet(K),TETRACYCLINE,Tanzania,100.0,99.56
ERR12511705,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511705,aph(2'')-Ih,aminoglycoside O-phosphotransferase APH(2'')-Ih,AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN,Tanzania,89.15,82.43
ERR12511705,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511705,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,93.0
ERR12511705,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,96.93
ERR12511705,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511707,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511707,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,89.53,92.88
ERR12511707,aph(2'')-Ih,aminoglycoside O-phosphotransferase APH(2'')-Ih,AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN,Tanzania,89.15,82.43
ERR12511707,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,83.33,97.27
ERR12511707,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511707,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511707,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511707,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511707,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.95
ERR12511707,msr(A),ABC-F type ribosomal protection protein Msr(A),MACROLIDE,Tanzania,100.0,100.0
ERR12511707,tet(K),tetracycline efflux MFS transporter Tet(K),TETRACYCLINE,Tanzania,100.0,99.56
ERR12511707,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511707,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511708,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511708,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.95
ERR12511708,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.04
ERR12511708,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,100.0
ERR12511708,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511709,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511709,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511709,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511709,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511709,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511709,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511710,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511710,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511710,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511710,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511710,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511710,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511711,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,99.74
ERR12511711,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,100.0
ERR12511711,blaPC1,BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1,BETA-LACTAM,Tanzania,100.0,99.29
ERR12511711,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,99.41
ERR12511711,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,99.46
ERR12511712,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511712,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,99.93
ERR12511712,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511712,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511712,aph(2'')-Ih,aminoglycoside O-phosphotransferase APH(2'')-Ih,AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN,Tanzania,89.15,82.43
ERR12511712,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511712,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511712,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,93.0
ERR12511712,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,96.93
ERR12511712,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511713,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511713,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511713,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511713,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,96.57
ERR12511713,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,92.89
ERR12511713,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511714,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511714,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511714,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511714,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511714,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511715,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511715,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511715,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511715,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511715,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511716,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.05
ERR12511716,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511716,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.72
ERR12511716,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,100.0
ERR12511716,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,99.78
ERR12511716,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511718,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511718,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511718,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511718,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511718,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511719,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511719,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511719,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511719,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,99.76
ERR12511719,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,94.56,100.0
ERR12511719,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,98.37
ERR12511720,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,95.54
ERR12511720,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,93.0
ERR12511720,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,96.93
ERR12511720,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511720,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511720,tet(K),tetracycline efflux MFS transporter Tet(K),TETRACYCLINE,Tanzania,100.0,99.56
ERR12511720,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
ERR12511720,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511720,dfrC,trimethoprim-resistant dihydrofolate reductase DfrC,TRIMETHOPRIM,Tanzania,100.0,98.97
ERR12511720,aph(2'')-Ih,aminoglycoside O-phosphotransferase APH(2'')-Ih,AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN,Tanzania,89.15,82.43
ERR12511721,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.05
ERR12511721,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511721,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,BETA-LACTAM,Tanzania,100.0,100.0
ERR12511721,blaR1,beta-lactam sensor/signal transducer BlaR1,BETA-LACTAM,Tanzania,100.0,97.27
ERR12511721,blaI_of_Z,penicillinase repressor BlaI,BETA-LACTAM,Tanzania,100.0,98.42
ERR12511721,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),MACROLIDE,Tanzania,100.0,100.0
ERR12511721,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,99.78
ERR12511723,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,TRIMETHOPRIM,Tanzania,100.0,100.0
ERR12511723,tet(38),tetracycline efflux MFS transporter Tet(38),TETRACYCLINE,Tanzania,100.0,100.0
ERR12511723,fosB-Saur,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,FOSFOMYCIN,Tanzania,100.0,99.29
ERR12511723,mecA,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,METHICILLIN,Tanzania,100.0,100.0
