Sample_ID,Contig_Count,Genome_Size_bp,GC_Percent,N50,Largest_Contig_bp,L50,Ns_per_100kb,QC_Status,Inclusion_Status
ERR12511756,34.0,2702786.0,32.71,150866.0,324665.0,7.0,0.0,Passed,Included
ERR12511757,43.0,2896801.0,32.61,257657.0,408837.0,5.0,0.0,Passed,Included
ERR12511758,40.0,2890451.0,32.61,189381.0,488340.0,5.0,0.0,Passed,Included
ERR12511759,31.0,2765338.0,32.7,137053.0,707669.0,5.0,0.0,Passed,Included
ERR12511760,40.0,2807606.0,32.61,292159.0,815619.0,3.0,0.0,Passed,Included
ERR12511761,46.0,2859984.0,32.59,202787.0,615336.0,4.0,0.0,Passed,Included
ERR12511762,42.0,2750063.0,32.74,109670.0,261033.0,7.0,0.0,Passed,Included
ERR12511763,239.0,2742596.0,32.6,19692.0,67857.0,44.0,0.0,Passed,Included
ERR12511764,46.0,2708741.0,32.67,106702.0,302741.0,8.0,0.0,Passed,Included
ERR12511766,43.0,2911046.0,32.62,260119.0,336146.0,5.0,0.0,Passed,Included
ERR12511768,45.0,2894520.0,32.61,253763.0,398336.0,5.0,0.0,Passed,Included
ERR12511769,67.0,2757973.0,32.71,83595.0,236416.0,11.0,0.0,Passed,Included
ERR12511772,40.0,2871171.0,32.58,216144.0,542080.0,5.0,0.0,Passed,Included
ERR12511773,42.0,2709645.0,32.64,105977.0,220727.0,9.0,0.0,Passed,Included
ERR12511774,75.0,2802439.0,32.69,174644.0,292519.0,7.0,0.0,Passed,Included
ERR12511775,44.0,2734697.0,32.7,122852.0,249499.0,8.0,0.0,Passed,Included
ERR12511779,51.0,2899881.0,32.6,159124.0,364881.0,7.0,0.0,Passed,Included
ERR12511780,41.0,2737980.0,32.69,117485.0,409927.0,7.0,0.0,Passed,Included
ERR12511781,47.0,2774349.0,32.7,105956.0,267252.0,9.0,0.0,Passed,Included
ERR12511782,44.0,2869825.0,32.58,150657.0,574912.0,6.0,0.0,Passed,Included
ERR12511783,42.0,2713611.0,32.65,143679.0,420994.0,6.0,0.0,Passed,Included
ERR12511784,39.0,2711414.0,32.65,117125.0,488796.0,6.0,0.0,Passed,Included
ERR12511786,43.0,2883774.0,32.62,151416.0,542122.0,5.0,0.0,Passed,Included
ERR12511787,53.0,2866263.0,32.61,137129.0,294443.0,8.0,0.0,Passed,Included
ERR12511790,38.0,2899790.0,32.61,202793.0,364881.0,5.0,0.0,Passed,Included
ERR12511791,55.0,2759087.0,32.69,88013.0,229902.0,9.0,0.0,Passed,Included
ERR12511792,57.0,2881324.0,32.61,121433.0,205757.0,10.0,0.0,Passed,Included
ERR12511793,44.0,2934308.0,32.6,180359.0,416736.0,5.0,0.0,Passed,Included
ERR12511794,47.0,2804892.0,32.69,138752.0,318665.0,7.0,0.0,Passed,Included
ERR12511798,61.0,2752229.0,32.7,83558.0,171925.0,12.0,0.0,Passed,Included
ERR12511802,54.0,2748069.0,32.7,86431.0,196644.0,10.0,0.0,Passed,Included
ERR12511805,57.0,2762489.0,32.7,86431.0,229847.0,9.0,0.0,Passed,Included
ERR12511811,52.0,2763921.0,32.71,86431.0,229741.0,10.0,0.0,Passed,Included
ERR12511814,52.0,2737600.0,32.68,114737.0,274854.0,8.0,0.0,Passed,Included
ERR12511815,26.0,2758468.0,32.66,279616.0,393616.0,5.0,0.0,Passed,Included
ERR12511816,43.0,2739210.0,32.68,117484.0,230412.0,8.0,0.0,Passed,Included
ERR12511817,244.0,2726634.0,32.78,21461.0,65516.0,40.0,0.0,Passed,Included
ERR12511819,86.0,2734056.0,32.7,69598.0,240143.0,13.0,0.0,Passed,Included
ERR12511820,158.0,2890075.0,32.53,186964.0,339421.0,6.0,0.0,Passed,Included
ERR12511821,47.0,2920255.0,32.62,150782.0,416509.0,6.0,0.0,Passed,Included
ERR12511823,65.0,2755330.0,32.65,70330.0,246563.0,13.0,0.0,Passed,Included
ERR12511824,352.0,2695871.0,32.78,15050.0,67223.0,57.0,0.0,Passed,Included
ERR12511826,57.0,2891984.0,32.62,133848.0,249254.0,9.0,0.0,Passed,Included
ERR12511827,50.0,2764837.0,32.71,150799.0,347018.0,7.0,0.0,Passed,Included
ERR12511828,39.0,2766056.0,32.7,146945.0,376730.0,6.0,0.0,Passed,Included
ERR12511829,29.0,2763051.0,32.69,199042.0,559317.0,4.0,0.0,Passed,Included
ERR12511830,50.0,2891982.0,32.63,136574.0,542136.0,7.0,0.0,Passed,Included
ERR12511832,75.0,2729417.0,32.65,58199.0,378380.0,13.0,0.0,Passed,Included
ERR12511833,42.0,2709466.0,32.66,172915.0,254056.0,7.0,0.0,Passed,Included
ERR12511836,51.0,2891926.0,32.63,145628.0,282288.0,8.0,0.0,Passed,Included
ERR12511837,28.0,2757625.0,32.66,248610.0,552705.0,4.0,0.0,Passed,Included
ERR12511838,53.0,2901791.0,32.62,148735.0,298192.0,7.0,0.0,Passed,Included
ERR12511839,29.0,2755193.0,32.67,234979.0,369766.0,5.0,0.0,Passed,Included
ERR12511840,263.0,2841460.0,32.68,21600.0,73327.0,41.0,0.0,Passed,Included
ERR12511842,178.0,3042471.0,32.49,70292.0,248165.0,13.0,0.0,Passed,Included
ERR12511843,28.0,2780334.0,32.68,183923.0,365934.0,5.0,0.0,Passed,Included
ERR12511845,30.0,2852431.0,32.6,282288.0,578089.0,4.0,0.0,Passed,Included
ERR12511847,26.0,2758559.0,32.66,279614.0,549076.0,4.0,0.0,Passed,Included
ERR12511848,41.0,2750784.0,32.66,153015.0,292461.0,7.0,0.0,Passed,Included
ERR12511850,85.0,2749535.0,32.65,59326.0,210761.0,15.0,0.0,Passed,Included
ERR12916291,37.0,2803591.0,32.62,304382.0,536787.0,4.0,0.0,Passed,Included
ERR12916292,54.0,2909330.0,32.62,282830.0,542135.0,4.0,0.0,Passed,Included
ERR12916293,40.0,2798436.0,32.66,266540.0,734666.0,4.0,0.0,Passed,Included
ERR12916294,42.0,2663763.0,32.66,117175.0,286110.0,8.0,0.0,Passed,Included
ERR12916295,46.0,2853840.0,32.59,159093.0,326591.0,6.0,0.0,Passed,Included
ERR12916296,52.0,2756335.0,32.71,120166.0,254116.0,8.0,0.0,Passed,Included
ERR12916297,31.0,2712145.0,32.68,155206.0,367438.0,6.0,0.0,Passed,Included
ERR12916298,44.0,2866928.0,32.57,150592.0,482356.0,6.0,0.0,Passed,Included
ERR12916299,43.0,2845049.0,32.61,159108.0,538847.0,5.0,0.0,Passed,Included
ERR12916300,28.0,2709259.0,32.72,200696.0,355600.0,5.0,0.0,Passed,Included
ERR1764887,32.0,2713126.0,32.58,201429.0,468958.0,4.0,0.0,Passed,Included
ERR1764889,48.0,2737642.0,32.74,117318.0,342801.0,8.0,0.0,Passed,Included
ERR1764890,44.0,2737252.0,32.74,117318.0,342801.0,8.0,0.0,Passed,Included
ERR1764892,48.0,2736935.0,32.73,117318.0,198672.0,9.0,0.0,Passed,Included
ERR1764893,27.0,2669361.0,32.66,194546.0,493156.0,5.0,0.0,Passed,Included
ERR1764895,47.0,2738324.0,32.74,102308.0,342801.0,9.0,0.0,Passed,Included
ERR1764896,36.0,2730109.0,32.65,106762.0,291994.0,7.0,0.0,Passed,Included
ERR1764897,39.0,2730371.0,32.66,104308.0,318326.0,8.0,0.0,Passed,Included
ERR1764898,30.0,2710631.0,32.49,179437.0,415079.0,6.0,0.0,Passed,Included
ERR1764899,29.0,2710255.0,32.48,145898.0,388408.0,6.0,0.0,Passed,Included
ERR1764901,34.0,2710339.0,32.65,135970.0,383464.0,7.0,0.0,Passed,Included
ERR1764903,45.0,2763108.0,32.7,126396.0,350271.0,8.0,0.0,Passed,Included
ERR1764904,28.0,2774471.0,32.74,204356.0,444578.0,5.0,0.0,Passed,Included
ERR1764905,32.0,2751855.0,32.64,184958.0,502428.0,5.0,0.0,Passed,Included
ERR1764906,31.0,2717087.0,32.67,169142.0,383847.0,6.0,0.0,Passed,Included
ERR1764907,33.0,2718211.0,32.67,190218.0,500819.0,5.0,0.0,Passed,Included
ERR1764908,38.0,2765442.0,32.68,105959.0,375011.0,6.0,0.0,Passed,Included
ERR1764909,38.0,2757244.0,32.7,114315.0,325814.0,8.0,0.0,Passed,Included
ERR1764910,32.0,2714496.0,32.66,136118.0,382957.0,6.0,0.0,Passed,Included
ERR1764911,62.0,2887504.0,32.64,111099.0,293617.0,9.0,0.0,Passed,Included
ERR1764912,37.0,2754973.0,32.7,140341.0,423918.0,6.0,0.0,Passed,Included
ERR1764915,25.0,2754623.0,32.72,306460.0,419951.0,4.0,0.0,Passed,Included
ERR1764916,48.0,2769995.0,32.75,153909.0,264137.0,7.0,0.0,Passed,Included
ERR1764917,40.0,2754693.0,32.7,140341.0,423685.0,6.0,0.0,Passed,Included
ERR1764918,48.0,2769497.0,32.75,153909.0,264137.0,7.0,0.0,Passed,Included
ERR1764919,45.0,2749633.0,32.66,127201.0,305902.0,8.0,0.0,Passed,Included
ERR1764920,70.0,2793763.0,32.76,89569.0,201059.0,11.0,0.0,Passed,Included
ERR1764921,31.0,2753895.0,32.72,218512.0,480194.0,5.0,0.0,Passed,Included
ERR1764922,33.0,2778080.0,32.71,209851.0,449448.0,5.0,0.0,Passed,Included
ERR1764923,36.0,2814024.0,32.7,198537.0,506395.0,5.0,0.0,Passed,Included
ERR1764924,33.0,2813777.0,32.7,174783.0,534340.0,5.0,0.0,Passed,Included
ERR1764925,39.0,2815400.0,32.7,225499.0,393763.0,5.0,0.0,Passed,Included
ERR1764926,25.0,2731464.0,32.76,240092.0,420008.0,5.0,0.0,Passed,Included
ERR1764927,67.0,2747836.0,32.72,107495.0,228947.0,9.0,0.0,Passed,Included
ERR1764928,36.0,2714998.0,32.65,140334.0,383047.0,6.0,0.0,Passed,Included
ERR1764929,52.0,2749214.0,32.65,107703.0,292066.0,9.0,0.0,Passed,Included
ERR1764930,31.0,2758728.0,32.71,208709.0,331805.0,6.0,0.0,Passed,Included
ERR1764931,39.0,2713891.0,32.66,104049.0,382958.0,8.0,0.0,Passed,Included
ERR1764932,25.0,2782963.0,32.76,286509.0,446319.0,4.0,0.0,Passed,Included
ERR1764933,29.0,2744165.0,32.64,292515.0,490530.0,4.0,0.0,Passed,Included
ERR1764934,37.0,2797033.0,32.69,158986.0,368477.0,6.0,0.0,Passed,Included
ERR1764935,31.0,2762804.0,32.7,198262.0,349982.0,6.0,0.0,Passed,Included
ERR1764936,41.0,2633632.0,32.65,139766.0,367037.0,7.0,0.0,Passed,Included
ERR1764937,30.0,2745997.0,32.68,164411.0,460534.0,5.0,0.0,Passed,Included
ERR1764938,28.0,2837787.0,32.64,274999.0,527376.0,4.0,0.0,Passed,Included
ERR1764939,27.0,2710658.0,32.67,185400.0,257951.0,7.0,0.0,Passed,Included
ERR1764940,37.0,2711549.0,32.66,126961.0,322499.0,7.0,0.0,Passed,Included
ERR1764941,38.0,2717239.0,32.65,113812.0,363937.0,6.0,0.0,Passed,Included
ERR1764942,28.0,2818947.0,32.69,275443.0,577506.0,4.0,0.0,Passed,Included
ERR1764943,27.0,2736661.0,32.75,230372.0,772346.0,4.0,0.0,Passed,Included
ERR1764944,37.0,2815212.0,32.69,221738.0,506398.0,4.0,0.0,Passed,Included
ERR1764945,37.0,2790591.0,32.73,141904.0,230358.0,8.0,0.0,Passed,Included
ERR1764946,30.0,2818779.0,32.69,275443.0,577506.0,4.0,0.0,Passed,Included
ERR1764947,29.0,2735122.0,32.75,230372.0,420005.0,5.0,0.0,Passed,Included
ERR1764948,35.0,2818888.0,32.69,244296.0,393765.0,5.0,0.0,Passed,Included
ERR1764949,38.0,2716789.0,32.65,103257.0,382826.0,7.0,0.0,Passed,Included
ERR1764950,28.0,2773559.0,32.7,198627.0,502618.0,5.0,0.0,Passed,Included
ERR1764951,27.0,2713221.0,32.67,194954.0,490494.0,5.0,0.0,Passed,Included
ERR1764952,30.0,2848018.0,32.67,263301.0,1014864.0,3.0,0.0,Passed,Included
ERR1764953,49.0,2758096.0,32.7,129932.0,342801.0,8.0,0.0,Passed,Included
ERR1764954,38.0,2717146.0,32.66,168687.0,283679.0,6.0,0.0,Passed,Included
ERR1764955,28.0,2755855.0,32.71,175949.0,257951.0,7.0,0.0,Passed,Included
ERR1764956,38.0,2718288.0,32.66,143094.0,353176.0,6.0,0.0,Passed,Included
ERR1764957,32.0,2797162.0,32.71,198564.0,518383.0,4.0,0.0,Passed,Included
ERR1764958,41.0,2789432.0,32.67,120716.0,383662.0,7.0,0.0,Passed,Included
ERR1764959,32.0,2848171.0,32.67,327272.0,356018.0,5.0,0.0,Passed,Included
ERR1764960,26.0,2735835.0,32.75,269172.0,553227.0,4.0,0.0,Passed,Included
ERR1764961,31.0,2750366.0,32.71,171397.0,497729.0,5.0,0.0,Passed,Included
ERR1764962,27.0,2711588.0,32.67,187185.0,294748.0,6.0,0.0,Passed,Included
ERR1764963,69.0,2750170.0,32.72,92837.0,188129.0,11.0,0.0,Passed,Included
ERR1764964,29.0,2742598.0,32.69,222677.0,791554.0,4.0,0.0,Passed,Included
ERR1764965,43.0,2739421.0,32.74,117318.0,342801.0,8.0,0.0,Passed,Included
ERR1764967,28.0,2811740.0,32.69,379061.0,534407.0,3.0,0.0,Passed,Included
ERR1764968,31.0,2709962.0,32.66,185035.0,509973.0,5.0,0.0,Passed,Included
ERR1764969,28.0,2767878.0,32.68,252547.0,464500.0,4.0,0.0,Passed,Included
ERR1764970,35.0,2720944.0,32.67,172416.0,362412.0,6.0,0.0,Passed,Included
ERR1764971,53.0,2846193.0,32.73,245181.0,469785.0,5.0,0.0,Passed,Included
ERR1764972,25.0,2701977.0,32.76,217689.0,714027.0,4.0,0.0,Passed,Included
ERR1764973,37.0,2754718.0,32.7,142970.0,342525.0,7.0,0.0,Passed,Included
ERR1764974,40.0,2665438.0,32.65,106022.0,383464.0,7.0,0.0,Passed,Included
ERR1764975,34.0,2812924.0,32.69,278578.0,532233.0,4.0,0.0,Passed,Included
ERR1764976,39.0,2735863.0,32.73,111429.0,312373.0,7.0,0.0,Passed,Included
ERR1764977,35.0,2710123.0,32.65,140334.0,429484.0,6.0,0.0,Passed,Included
ERR1764978,43.0,2701259.0,32.75,160488.0,376666.0,7.0,0.0,Passed,Included
ERR1764979,37.0,2713059.0,32.65,135345.0,383550.0,7.0,0.0,Passed,Included
ERR1764980,40.0,2709845.0,32.65,127019.0,383464.0,6.0,0.0,Passed,Included
ERR1764981,41.0,2755649.0,32.69,111428.0,426828.0,6.0,0.0,Passed,Included
ERR1764982,40.0,2713950.0,32.67,135354.0,383230.0,6.0,0.0,Passed,Included
ERR1764983,27.0,2764778.0,32.7,210819.0,497341.0,5.0,0.0,Passed,Included
ERR1764984,35.0,2788010.0,32.67,155342.0,269464.0,7.0,0.0,Passed,Included
ERR1764985,34.0,2757554.0,32.71,244980.0,331818.0,5.0,0.0,Passed,Included
ERR1764986,24.0,2783230.0,32.77,321216.0,424695.0,4.0,0.0,Passed,Included
ERR1764987,37.0,2712937.0,32.66,120716.0,383159.0,7.0,0.0,Passed,Included
ERR1764988,18.0,2744562.0,32.64,272879.0,474534.0,4.0,0.0,Passed,Included
ERR1764989,44.0,2867005.0,32.7,158985.0,337436.0,7.0,0.0,Passed,Included
ERR1764990,26.0,2743993.0,32.63,195884.0,299066.0,7.0,0.0,Passed,Included
ERR1764991,39.0,2712740.0,32.66,104238.0,382957.0,7.0,0.0,Passed,Included
ERR1764992,25.0,2747546.0,32.67,236324.0,474760.0,4.0,0.0,Passed,Included
ERR1764993,35.0,2792245.0,32.65,236065.0,490529.0,4.0,0.0,Passed,Included
ERR1764994,43.0,2713741.0,32.66,104085.0,383230.0,8.0,0.0,Passed,Included
ERR1764995,37.0,2725116.0,32.66,116192.0,383666.0,8.0,0.0,Passed,Included
ERR1764996,30.0,2708896.0,32.67,198811.0,531644.0,5.0,0.0,Passed,Included
ERR1764997,66.0,2845320.0,32.71,144791.0,505888.0,6.0,0.0,Passed,Included
ERR1764998,37.0,2714025.0,32.66,113813.0,269536.0,7.0,0.0,Passed,Included
ERR1764999,37.0,2714002.0,32.66,142860.0,383159.0,6.0,0.0,Passed,Included
ERR1765000,20.0,2737163.0,32.75,243362.0,553457.0,4.0,0.0,Passed,Included
ERR1765001,35.0,2791670.0,32.65,158987.0,490529.0,5.0,0.0,Passed,Included
ERR1765002,38.0,2714207.0,32.66,120716.0,269463.0,7.0,0.0,Passed,Included
ERR1765004,29.0,2705572.0,32.68,168607.0,319898.0,6.0,0.0,Passed,Included
ERR1765005,35.0,2706702.0,32.66,168342.0,437964.0,6.0,0.0,Passed,Included
ERR1765006,23.0,2736962.0,32.76,240092.0,772451.0,4.0,0.0,Passed,Included
ERR1765007,43.0,2770707.0,32.64,137360.0,478755.0,7.0,0.0,Passed,Included
ERR1765008,17.0,2747753.0,32.6,405052.0,531496.0,3.0,0.0,Passed,Included
ERR1765009,29.0,2774248.0,32.65,163724.0,580775.0,4.0,0.0,Passed,Included
ERR1765010,32.0,2705541.0,32.68,314810.0,625738.0,3.0,0.0,Passed,Included
ERR1765011,35.0,2711534.0,32.66,135354.0,384169.0,6.0,0.0,Passed,Included
ERR1765012,25.0,2713712.0,32.66,376534.0,497256.0,3.0,0.0,Passed,Included
ERR1765013,35.0,2710227.0,32.66,137055.0,384169.0,6.0,0.0,Passed,Included
ERR1765014,36.0,2820109.0,32.7,231370.0,441220.0,4.0,0.0,Passed,Included
ERR1765015,38.0,2708806.0,32.65,140334.0,383464.0,5.0,0.0,Passed,Included
ERR1765016,21.0,2748026.0,32.61,441569.0,528940.0,3.0,0.0,Passed,Included
ERR1765017,37.0,2713940.0,32.66,151241.0,265774.0,7.0,0.0,Passed,Included
ERR1765018,35.0,2814615.0,32.71,214782.0,532232.0,4.0,0.0,Passed,Included
ERR1765019,35.0,2665226.0,32.65,126961.0,304690.0,8.0,0.0,Passed,Included
ERR1765020,37.0,2710033.0,32.66,126960.0,384057.0,6.0,0.0,Passed,Included
ERR1765021,31.0,2751021.0,32.69,171947.0,497339.0,5.0,0.0,Passed,Included
ERR1765022,39.0,2712923.0,32.66,140340.0,382957.0,7.0,0.0,Passed,Included
ERR1765023,40.0,2710933.0,32.66,116192.0,383554.0,7.0,0.0,Passed,Included
ERR1765024,33.0,2716324.0,32.67,199812.0,295118.0,6.0,0.0,Passed,Included
ERR1765025,30.0,2812689.0,32.71,271049.0,534375.0,4.0,0.0,Passed,Included
ERR1765026,35.0,2715883.0,32.67,176220.0,294993.0,6.0,0.0,Passed,Included
ERR1765027,27.0,2710783.0,32.65,209705.0,460535.0,4.0,0.0,Passed,Included
ERR1765028,40.0,2664138.0,32.64,135354.0,363937.0,7.0,0.0,Passed,Included
ERR1765029,42.0,2765470.0,32.71,127201.0,402529.0,7.0,0.0,Passed,Included
ERR1765030,29.0,2790792.0,32.66,270971.0,514382.0,4.0,0.0,Passed,Included
ERR1765031,27.0,2780386.0,32.67,261107.0,470325.0,4.0,0.0,Passed,Included
ERR1765032,36.0,2821997.0,32.69,197155.0,506396.0,5.0,0.0,Passed,Included
ERR1765033,48.0,2749653.0,32.67,113383.0,291921.0,8.0,0.0,Passed,Included
ERR1765034,39.0,2710952.0,32.66,135354.0,383736.0,6.0,0.0,Passed,Included
ERR1765035,32.0,2749159.0,32.71,198270.0,328827.0,6.0,0.0,Passed,Included
ERR1765036,30.0,2814949.0,32.7,318805.0,533843.0,4.0,0.0,Passed,Included
ERR1765037,38.0,2665071.0,32.65,140298.0,384057.0,6.0,0.0,Passed,Included
ERR1765038,37.0,2785232.0,32.71,137361.0,478695.0,7.0,0.0,Passed,Included
ERR1765039,38.0,2712417.0,32.65,135351.0,383671.0,6.0,0.0,Passed,Included
ERR1765040,24.0,2814526.0,32.68,336167.0,655681.0,3.0,0.0,Passed,Included
ERR1765041,38.0,2714678.0,32.66,111123.0,382957.0,7.0,0.0,Passed,Included
ERR1765042,38.0,2712179.0,32.66,164866.0,383666.0,6.0,0.0,Passed,Included
ERR1765043,41.0,2716562.0,32.66,140341.0,265816.0,7.0,0.0,Passed,Included
ERR1765044,40.0,2827754.0,32.67,202895.0,354243.0,5.0,0.0,Passed,Included
ERR1765045,38.0,2725010.0,32.67,168060.0,473719.0,6.0,0.0,Passed,Included
ERR1765046,26.0,2708102.0,32.65,288143.0,531460.0,4.0,0.0,Passed,Included
ERR1765047,36.0,2710814.0,32.65,106022.0,430235.0,7.0,0.0,Passed,Included
ERR1765048,29.0,2710000.0,32.65,238829.0,586409.0,4.0,0.0,Passed,Included
ERR1765049,21.0,2745398.0,32.64,212115.0,516931.0,4.0,0.0,Passed,Included
ERR1765050,23.0,2743998.0,32.63,216477.0,474532.0,4.0,0.0,Passed,Included
ERR1765051,30.0,2742607.0,32.7,204071.0,714028.0,4.0,0.0,Passed,Included
ERR1765052,21.0,2710121.0,32.68,228534.0,617871.0,4.0,0.0,Passed,Included
ERR1791869,36.0,2712673.0,32.57,183007.0,469085.0,4.0,0.0,Passed,Included
ERR1791870,40.0,2754944.0,32.7,143093.0,383160.0,6.0,0.0,Passed,Included
ERR1791871,23.0,2756320.0,32.59,276223.0,528215.0,4.0,0.0,Passed,Included
ERR1791872,29.0,2743552.0,32.69,264821.0,714028.0,4.0,0.0,Passed,Included
ERR1791873,33.0,2710054.0,32.65,140334.0,382845.0,5.0,0.0,Passed,Included
ERR1791874,38.0,2712690.0,32.66,104048.0,326331.0,7.0,0.0,Passed,Included
ERR1791875,39.0,2718479.0,32.66,111123.0,383132.0,7.0,0.0,Passed,Included
ERR1791876,33.0,2712860.0,32.66,142859.0,383550.0,6.0,0.0,Passed,Included
ERR1791877,30.0,2766235.0,32.7,170059.0,349884.0,7.0,0.0,Passed,Included
ERR1791878,38.0,2714767.0,32.65,114315.0,269424.0,8.0,0.0,Passed,Included
ERR1791879,30.0,2813032.0,32.7,241537.0,610889.0,4.0,0.0,Passed,Included
ERR1791880,39.0,2715092.0,32.66,113812.0,363898.0,7.0,0.0,Passed,Included
ERR1791881,29.0,2779323.0,32.67,261107.0,470325.0,4.0,0.0,Passed,Included
ERR1791882,38.0,2692956.0,32.69,136118.0,382845.0,6.0,0.0,Passed,Included
ERR4692239,455.0,2649714.0,33.03,11199.0,62199.0,68.0,0.0,Passed,Included
ERR4692240,408.0,2675095.0,33.02,12371.0,61446.0,60.0,0.0,Passed,Included
ERR4692241,290.0,2747768.0,32.91,24591.0,84629.0,32.0,0.0,Passed,Included
ERR4692245,68.0,2784430.0,32.72,101390.0,305614.0,9.0,0.0,Passed,Included
ERR4692246,91.0,2774227.0,32.75,66265.0,170581.0,14.0,0.0,Passed,Included
ERR4692257,134.0,2826369.0,32.83,93318.0,244982.0,9.0,0.0,Passed,Included
