sample_id,country,sequence_type,quality_flag,original_st_assignment,clone_cluster_99_99ani,cluster_size,derep_representative,derep_status_alphabetical,organism,arc_c_allele,aro_e_allele,glp_f_allele,gmk_allele,pta_allele,tpi_allele,yqi_l_allele
ERR1764908,Kenya,152,Complete_profile,152,Singleton,1,ERR1764908,Retained,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764909,Kenya,152,Complete_profile,152,Singleton,1,ERR1764909,Retained,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764910,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764912,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764917,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764928,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764931,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764940,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764941,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764956,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764958,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764974,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764976,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764977,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764979,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764980,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764981,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764982,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764984,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764987,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764991,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764994,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764995,Kenya,152,Complete_profile,152,Singleton,1,ERR1764995,Retained,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764998,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764999,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765002,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765011,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765013,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765015,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765017,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765019,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765020,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765023,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765028,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765034,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765037,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765039,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765041,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765042,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765043,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765047,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1791873,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1791874,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1791875,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1791878,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1791880,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1791882,Kenya,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764949,Kenya,1633,Complete_profile,1633,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(212),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764973,Kenya,1633,Complete_profile,1633,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(212),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1765022,Kenya,1633,Complete_profile,1633,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(212),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1791870,Kenya,1633,Complete_profile,1633,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(212),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1791876,Kenya,1633,Complete_profile,1633,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(212),gmk(44),pta(13),tpi(68),yqiL(60)
ERR1764906,Kenya,188,Complete_profile,188,ANI99.99_cluster_07,4,ERR1764906,Retained,saureus,arcC(3),aroE(1),glpF(1),gmk(8),pta(1),tpi(1),yqiL(1)
ERR1764907,Kenya,188,Complete_profile,188,ANI99.99_cluster_07,4,ERR1764906,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(1),glpF(1),gmk(8),pta(1),tpi(1),yqiL(1)
ERR1764930,Kenya,188,Complete_profile,188,ANI99.99_cluster_07,4,ERR1764906,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(1),glpF(1),gmk(8),pta(1),tpi(1),yqiL(1)
ERR1764985,Kenya,188,Complete_profile,188,ANI99.99_cluster_07,4,ERR1764906,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(1),glpF(1),gmk(8),pta(1),tpi(1),yqiL(1)
ERR1765005,Kenya,2126,Complete_profile,2126,Singleton,1,ERR1765005,Retained,saureus,arcC(13),aroE(13),glpF(1),gmk(1),pta(12),tpi(112),yqiL(13)
ERR1764903,Kenya,22,Complete_profile,22,Singleton,1,ERR1764903,Retained,saureus,arcC(7),aroE(6),glpF(1),gmk(5),pta(8),tpi(8),yqiL(6)
ERR1764919,Kenya,22,Complete_profile,22,ANI99.99_cluster_20,2,ERR1764919,Retained,saureus,arcC(7),aroE(6),glpF(1),gmk(5),pta(8),tpi(8),yqiL(6)
ERR1764927,Kenya,22,Complete_profile,22,ANI99.99_cluster_21,2,ERR1764927,Retained,saureus,arcC(7),aroE(6),glpF(1),gmk(5),pta(8),tpi(8),yqiL(6)
ERR1764929,Kenya,22,Complete_profile,22,Singleton,1,ERR1764929,Retained,saureus,arcC(7),aroE(6),glpF(1),gmk(5),pta(8),tpi(8),yqiL(6)
ERR1764963,Kenya,22,Complete_profile,22,ANI99.99_cluster_21,2,ERR1764927,Excluded_in_sensitivity_only,saureus,arcC(7),aroE(6),glpF(1),gmk(5),pta(8),tpi(8),yqiL(6)
ERR1765029,Kenya,22,Complete_profile,22,ANI99.99_cluster_20,2,ERR1764919,Excluded_in_sensitivity_only,saureus,arcC(7),aroE(6),glpF(1),gmk(5),pta(8),tpi(8),yqiL(6)
ERR1765033,Kenya,22,Complete_profile,22,Singleton,1,ERR1765033,Retained,saureus,arcC(7),aroE(6),glpF(1),gmk(5),pta(8),tpi(8),yqiL(6)
ERR1764945,Kenya,2430,Complete_profile,2430,Singleton,1,ERR1764945,Retained,saureus,arcC(6),aroE(5),glpF(6),gmk(98),pta(7),tpi(14),yqiL(5)
ERR1764938,Kenya,25,Complete_profile,25,Singleton,1,ERR1764938,Retained,saureus,arcC(4),aroE(1),glpF(4),gmk(1),pta(5),tpi(5),yqiL(4)
ERR1765008,Kenya,25,Complete_profile,25,Singleton,1,ERR1765008,Retained,saureus,arcC(4),aroE(1),glpF(4),gmk(1),pta(5),tpi(5),yqiL(4)
ERR1765016,Kenya,25,Complete_profile,25,Singleton,1,ERR1765016,Retained,saureus,arcC(4),aroE(1),glpF(4),gmk(1),pta(5),tpi(5),yqiL(4)
ERR1765046,Kenya,25,Complete_profile,25,Singleton,1,ERR1765046,Retained,saureus,arcC(4),aroE(1),glpF(4),gmk(1),pta(5),tpi(5),yqiL(4)
ERR1791871,Kenya,25,Complete_profile,25,Singleton,1,ERR1791871,Retained,saureus,arcC(4),aroE(1),glpF(4),gmk(1),pta(5),tpi(5),yqiL(4)
ERR1764889,Kenya,30,Complete_profile,30,ANI99.99_cluster_06,5,ERR1764889,Retained,saureus,arcC(2),aroE(2),glpF(2),gmk(2),pta(6),tpi(3),yqiL(2)
ERR1764890,Kenya,30,Complete_profile,30,ANI99.99_cluster_06,5,ERR1764889,Excluded_in_sensitivity_only,saureus,arcC(2),aroE(2),glpF(2),gmk(2),pta(6),tpi(3),yqiL(2)
ERR1764892,Kenya,30,Complete_profile,30,ANI99.99_cluster_06,5,ERR1764889,Excluded_in_sensitivity_only,saureus,arcC(2),aroE(2),glpF(2),gmk(2),pta(6),tpi(3),yqiL(2)
ERR1764895,Kenya,30,Complete_profile,30,ANI99.99_cluster_06,5,ERR1764889,Excluded_in_sensitivity_only,saureus,arcC(2),aroE(2),glpF(2),gmk(2),pta(6),tpi(3),yqiL(2)
ERR1764953,Kenya,30,Complete_profile,30,Singleton,1,ERR1764953,Retained,saureus,arcC(2),aroE(2),glpF(2),gmk(2),pta(6),tpi(3),yqiL(2)
ERR1764965,Kenya,30,Complete_profile,30,ANI99.99_cluster_06,5,ERR1764889,Excluded_in_sensitivity_only,saureus,arcC(2),aroE(2),glpF(2),gmk(2),pta(6),tpi(3),yqiL(2)
ERR1765007,Kenya,30,Complete_profile,30,Singleton,1,ERR1765007,Retained,saureus,arcC(2),aroE(2),glpF(2),gmk(2),pta(6),tpi(3),yqiL(2)
ERR1765038,Kenya,30,Complete_profile,30,Singleton,1,ERR1765038,Retained,saureus,arcC(2),aroE(2),glpF(2),gmk(2),pta(6),tpi(3),yqiL(2)
ERR1764904,Kenya,5,Complete_profile,5,Singleton,1,ERR1764904,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(4),pta(12),tpi(1),yqiL(10)
ERR1765010,Kenya,5,Complete_profile,5,Singleton,1,ERR1765010,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(4),pta(12),tpi(1),yqiL(10)
ERR1765030,Kenya,5,Complete_profile,5,Singleton,1,ERR1765030,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(4),pta(12),tpi(1),yqiL(10)
ERR1765044,Kenya,5,Complete_profile,5,Singleton,1,ERR1765044,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(4),pta(12),tpi(1),yqiL(10)
ERR1764922,Kenya,508,Complete_profile,508,Singleton,1,ERR1764922,Retained,saureus,arcC(10),aroE(40),glpF(8),gmk(6),pta(10),tpi(3),yqiL(2)
ERR1764972,Kenya,508,Complete_profile,508,ANI99.99_cluster_08,4,ERR1764964,Excluded_in_sensitivity_only,saureus,arcC(10),aroE(40),glpF(8),gmk(6),pta(10),tpi(3),yqiL(2)
ERR1764970,Kenya,573,Complete_profile,573,Singleton,1,ERR1764970,Retained,saureus,arcC(1),aroE(1),glpF(1),gmk(1),pta(12),tpi(1),yqiL(1)
ERR1765045,Kenya,573,Complete_profile,573,Singleton,1,ERR1765045,Retained,saureus,arcC(1),aroE(1),glpF(1),gmk(1),pta(12),tpi(1),yqiL(1)
ERR1764916,Kenya,580,Complete_profile,580,ANI99.99_cluster_19,2,ERR1764916,Retained,saureus,arcC(3),aroE(35),glpF(48),gmk(19),pta(20),tpi(26),yqiL(39)
ERR1764918,Kenya,580,Complete_profile,580,ANI99.99_cluster_19,2,ERR1764916,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(35),glpF(48),gmk(19),pta(20),tpi(26),yqiL(39)
ERR1765024,Kenya,6,Complete_profile,6,ANI99.99_cluster_26,2,ERR1765024,Retained,saureus,arcC(12),aroE(4),glpF(1),gmk(4),pta(12),tpi(1),yqiL(3)
ERR1765026,Kenya,6,Complete_profile,6,ANI99.99_cluster_26,2,ERR1765024,Excluded_in_sensitivity_only,saureus,arcC(12),aroE(4),glpF(1),gmk(4),pta(12),tpi(1),yqiL(3)
ERR1764952,Kenya,707,Complete_profile,707,ANI99.99_cluster_22,2,ERR1764952,Retained,saureus,arcC(18),aroE(71),glpF(6),gmk(2),pta(7),tpi(58),yqiL(2)
ERR1764959,Kenya,707,Complete_profile,707,ANI99.99_cluster_22,2,ERR1764952,Excluded_in_sensitivity_only,saureus,arcC(18),aroE(71),glpF(6),gmk(2),pta(7),tpi(58),yqiL(2)
ERR1764935,Kenya,72,Complete_profile,72,ANI99.99_cluster_04,8,ERR1764935,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(4),tpi(4),yqiL(3)
ERR1764951,Kenya,72,Complete_profile,72,ANI99.99_cluster_04,8,ERR1764935,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(4),tpi(4),yqiL(3)
ERR1764961,Kenya,72,Complete_profile,72,ANI99.99_cluster_04,8,ERR1764935,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(4),tpi(4),yqiL(3)
ERR1764968,Kenya,72,Complete_profile,72,Singleton,1,ERR1764968,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(4),tpi(4),yqiL(3)
ERR1764983,Kenya,72,Complete_profile,72,ANI99.99_cluster_04,8,ERR1764935,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(4),tpi(4),yqiL(3)
ERR1764996,Kenya,72,Complete_profile,72,ANI99.99_cluster_04,8,ERR1764935,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(4),tpi(4),yqiL(3)
ERR1765012,Kenya,72,Complete_profile,72,ANI99.99_cluster_04,8,ERR1764935,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(4),tpi(4),yqiL(3)
ERR1765021,Kenya,72,Complete_profile,72,Singleton,1,ERR1765021,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(4),tpi(4),yqiL(3)
ERR1765035,Kenya,72,Complete_profile,72,ANI99.99_cluster_04,8,ERR1764935,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(4),tpi(4),yqiL(3)
ERR1791877,Kenya,72,Complete_profile,72,ANI99.99_cluster_04,8,ERR1764935,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(4),tpi(4),yqiL(3)
ERR1764911,Kenya,7635,Unusual_allele(s):_glpF,7635,Singleton,1,ERR1764911,Retained,saureus,arcC(2),aroE(3),glpF(936),gmk(1),pta(4),tpi(4),yqiL(30)
ERR1764905,Kenya,8,Complete_profile,8,Singleton,1,ERR1764905,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764923,Kenya,8,Complete_profile,8,ANI99.99_cluster_10,3,ERR1764923,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764924,Kenya,8,Complete_profile,8,ANI99.99_cluster_10,3,ERR1764923,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764925,Kenya,8,Complete_profile,8,ANI99.99_cluster_10,3,ERR1764923,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764933,Kenya,8,Complete_profile,8,Singleton,1,ERR1764933,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764934,Kenya,8,Complete_profile,8,Singleton,1,ERR1764934,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764942,Kenya,8,Complete_profile,8,ANI99.99_cluster_13,3,ERR1764942,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764944,Kenya,8,Complete_profile,8,Singleton,1,ERR1764944,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764946,Kenya,8,Complete_profile,8,ANI99.99_cluster_13,3,ERR1764942,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764948,Kenya,8,Complete_profile,8,ANI99.99_cluster_13,3,ERR1764942,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764957,Kenya,8,Complete_profile,8,Singleton,1,ERR1764957,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764967,Kenya,8,Complete_profile,8,Singleton,1,ERR1764967,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764971,Kenya,8,Complete_profile,8,Singleton,1,ERR1764971,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764975,Kenya,8,Complete_profile,8,ANI99.99_cluster_23,2,ERR1764975,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764989,Kenya,8,Complete_profile,8,Singleton,1,ERR1764989,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764992,Kenya,8,Complete_profile,8,Singleton,1,ERR1764992,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764993,Kenya,8,Complete_profile,8,ANI99.99_cluster_24,2,ERR1764993,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1765001,Kenya,8,Complete_profile,8,ANI99.99_cluster_24,2,ERR1764993,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1765014,Kenya,8,Complete_profile,8,Singleton,1,ERR1765014,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1765018,Kenya,8,Complete_profile,8,ANI99.99_cluster_23,2,ERR1764975,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1765025,Kenya,8,Complete_profile,8,Singleton,1,ERR1765025,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
