sample,country,type,subtype,mecA,targets,regions,coverage,hits,comment
ERR12511739,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511740,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511743,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511745,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511747,Tanzania,-,-,+,"ccrC1,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511749,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511751,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511752,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511753,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511755,Tanzania,-,-,+,"ccrC1,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511756,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511757,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511758,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511759,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511760,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511761,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511762,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511763,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511764,Tanzania,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511766,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511768,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511769,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511772,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511773,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511774,Tanzania,-,-,-,"IS431,IS431_1,IS431_2",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511775,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511779,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511780,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511781,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511782,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511783,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511784,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511786,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511787,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511790,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511791,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511792,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511793,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511794,Tanzania,-,-,+,"ccrC1,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511798,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511802,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511805,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511811,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511814,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511815,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511816,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511817,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511819,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511820,Tanzania,-,-,+,"IS431,IS431_1,IS431_2,mecA",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511821,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511823,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511824,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511826,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511827,Tanzania,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511828,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511829,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511830,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12511832,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511833,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511836,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511837,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511838,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511839,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511840,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511842,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511843,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511845,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
ERR12511847,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511848,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12511850,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12916291,Tanzania,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,mecA,mecR1",,,,
ERR12916292,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12916293,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12916294,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12916295,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12916296,Tanzania,-,-,-,"IS431,IS431_1,IS431_2",,,,A type could not be determined based on the target matches or cassette coverage
ERR12916297,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR12916298,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12916299,Tanzania,-,-,+,"ccrC1,IS1272,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
ERR12916300,Tanzania,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764887,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764889,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764890,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764892,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764893,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764895,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764896,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764897,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764898,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764899,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764901,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764903,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764904,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764905,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764906,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764907,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764908,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764909,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764910,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764911,Kenya,III,III,+,"ccrA3,ccrB3,IS431,IS431_1,IS431_2,mecA,mecI,mecR1",III,85.13,51.0,
ERR1764912,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764915,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764916,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764917,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764918,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764919,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764920,Kenya,IV,IVg,+,"ccrA2,ccrB2,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",IVg,100.0,12.0,
ERR1764921,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764922,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764923,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764924,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764925,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764926,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764927,Kenya,-,-,-,"IS431,IS431_1,IS431_2,IS1272",,,,A type could not be determined based on the target matches or cassette coverage
ERR1764928,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764929,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764930,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764931,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764932,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764933,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764934,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764935,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764936,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764937,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764938,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764939,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764940,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764941,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764942,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764943,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764944,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764945,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764946,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764947,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764948,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764949,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764950,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764951,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764952,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764953,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764954,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764955,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764956,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764957,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764958,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764959,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764960,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764961,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764962,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764963,Kenya,-,-,-,"IS431,IS431_1,IS431_2,IS1272",,,,A type could not be determined based on the target matches or cassette coverage
ERR1764964,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764965,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764967,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764968,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764969,Kenya,IV,IVa,+,"ccrA2,ccrB2,ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",IVa,87.94,76.0,Type and Subtype are based on coverage against cassette IVa
ERR1764970,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764971,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764972,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764973,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764974,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764975,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764976,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764977,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764978,Kenya,-,-,-,"IS431,IS431_1,IS431_2",,,,A type could not be determined based on the target matches or cassette coverage
ERR1764979,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764980,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764981,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764982,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764983,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764984,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764985,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764986,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764987,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764988,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764989,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764990,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764991,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764992,Kenya,-,-,-,"IS431,IS431_1,IS431_2",,,,A type could not be determined based on the target matches or cassette coverage
ERR1764993,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764994,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764995,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764996,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764997,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764998,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1764999,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765000,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765001,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765002,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765004,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765005,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765006,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765007,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765008,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765009,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765010,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765011,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765012,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765013,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765014,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765015,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765016,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765017,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765018,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765019,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765020,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765021,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765022,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765023,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765024,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765025,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765026,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765027,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765028,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765029,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765030,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765031,Kenya,IV,IVa,+,"ccrA2,ccrB2,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",IVa,87.93,63.0,
ERR1765032,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765033,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765034,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765035,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765036,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765037,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765038,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765039,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765040,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765041,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765042,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765043,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765044,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765045,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765046,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765047,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765048,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765049,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765050,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765051,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1765052,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791869,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791870,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791871,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791872,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791873,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791874,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791875,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791876,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
